Price,Close,High,Low,Open,Volume
Ticker,ATOS,ATOS,ATOS,ATOS,ATOS
Date,,,,,
2019-04-23,3.4800000190734863,3.9200000762939453,3.0,3.0299999713897705,12887200
2019-04-24,3.4800000190734863,3.5999999046325684,3.2200000286102295,3.450000047683716,1656000
2019-04-25,3.200000047683716,4.260000228881836,2.950000047683716,3.4800000190734863,6720200
2019-04-26,2.9700000286102295,3.140000104904175,2.950000047683716,3.0799999237060547,697900
2019-04-29,2.950000047683716,3.0899999141693115,2.9000000953674316,3.0,389500
2019-04-30,2.990000009536743,3.0199999809265137,2.869999885559082,2.9200000762939453,206300
2019-05-01,2.9800000190734863,3.049999952316284,2.9200000762939453,2.9600000381469727,295100
2019-05-02,2.930000066757202,2.990000009536743,2.890000104904175,2.950000047683716,192400
2019-05-03,3.0,3.0,2.9000000953674316,2.9700000286102295,150600
2019-05-06,2.9700000286102295,3.0399999618530273,2.940000057220459,2.9800000190734863,186800
2019-05-07,2.930000066757202,3.0199999809265137,2.890000104904175,2.9600000381469727,138800
2019-05-08,2.819999933242798,2.9800000190734863,2.7799999713897705,2.9000000953674316,250200
2019-05-09,2.6700000762939453,2.8399999141693115,2.6600000858306885,2.799999952316284,186600
2019-05-10,2.5899999141693115,2.740000009536743,2.5799999237060547,2.690000057220459,243800
2019-05-13,2.5199999809265137,2.5999999046325684,2.4800000190734863,2.5799999237060547,199600
2019-05-14,2.3499999046325684,2.5899999141693115,2.319999933242798,2.509999990463257,327900
2019-05-15,2.440000057220459,2.549999952316284,2.299999952316284,2.309999942779541,278600
2019-05-16,2.5199999809265137,2.630000114440918,2.4200000762939453,2.4700000286102295,259700
2019-05-17,2.5399999618530273,2.569999933242798,2.450000047683716,2.5,144400
2019-05-20,2.549999952316284,2.5799999237060547,2.450000047683716,2.5,83500
2019-05-21,2.7300000190734863,2.8299999237060547,2.5299999713897705,2.5899999141693115,431800
2019-05-22,2.7799999713897705,2.890000104904175,2.6600000858306885,2.7100000381469727,121200
2019-05-23,2.609999895095825,2.740000009536743,2.549999952316284,2.740000009536743,133300
2019-05-24,2.5999999046325684,2.619999885559082,2.5199999809265137,2.619999885559082,80600
2019-05-28,2.690000057220459,2.8499999046325684,2.5999999046325684,2.5999999046325684,107100
2019-05-29,2.619999885559082,2.700000047683716,2.5,2.6600000858306885,110400
2019-05-30,2.630000114440918,2.6500000953674316,2.5199999809265137,2.5799999237060547,135800
2019-05-31,2.559999942779541,2.700000047683716,2.5,2.630000114440918,121100
2019-06-03,2.5,2.559999942779541,2.3499999046325684,2.5399999618530273,188300
2019-06-04,2.440000057220459,2.5799999237060547,2.390000104904175,2.509999990463257,132000
2019-06-05,2.380000114440918,2.509999990463257,2.359999895095825,2.4800000190734863,87800
2019-06-06,2.2799999713897705,2.440000057220459,2.2100000381469727,2.390000104904175,240700
2019-06-07,2.1600000858306885,2.299999952316284,2.130000114440918,2.2699999809265137,209500
2019-06-10,2.2799999713897705,2.3499999046325684,2.1600000858306885,2.1600000858306885,221000
2019-06-11,2.2100000381469727,2.380000114440918,2.130000114440918,2.2799999713897705,185600
2019-06-12,2.1500000953674316,2.2100000381469727,2.140000104904175,2.190000057220459,72600
2019-06-13,2.0899999141693115,2.1700000762939453,2.0299999713897705,2.1500000953674316,160500
2019-06-14,2.0999999046325684,2.1700000762939453,2.049999952316284,2.0999999046325684,239300
2019-06-17,2.069999933242798,2.119999885559082,2.0299999713897705,2.119999885559082,151700
2019-06-18,2.109999895095825,2.130000114440918,2.049999952316284,2.049999952316284,130700
2019-06-19,2.1600000858306885,2.2300000190734863,2.0999999046325684,2.0999999046325684,93300
2019-06-20,2.0899999141693115,2.1700000762939453,2.009999990463257,2.140000104904175,257100
2019-06-21,2.0399999618530273,2.130000114440918,2.0199999809265137,2.059999942779541,94800
2019-06-24,2.0299999713897705,2.0799999237060547,1.9199999570846558,2.0799999237060547,106000
2019-06-25,2.309999942779541,2.3499999046325684,1.9500000476837158,2.009999990463257,764700
2019-06-26,2.2300000190734863,2.299999952316284,2.0999999046325684,2.299999952316284,278500
2019-06-27,2.5799999237060547,3.25,2.4000000953674316,2.759999990463257,14979200
2019-06-28,2.549999952316284,2.5999999046325684,2.369999885559082,2.450000047683716,1035500
2019-07-01,2.5199999809265137,2.569999933242798,2.4600000381469727,2.5399999618530273,388600
2019-07-02,2.4100000858306885,2.5,2.4000000953674316,2.5,242700
2019-07-03,2.299999952316284,2.4100000858306885,2.2799999713897705,2.380000114440918,228300
2019-07-05,2.2899999618530273,2.4000000953674316,2.2799999713897705,2.2899999618530273,146000
2019-07-08,2.2100000381469727,2.3399999141693115,2.1700000762939453,2.259999990463257,222800
2019-07-09,2.130000114440918,2.240000009536743,2.0999999046325684,2.200000047683716,185100
2019-07-10,2.240000009536743,2.240000009536743,2.0899999141693115,2.140000104904175,134200
2019-07-11,2.2699999809265137,2.5999999046325684,2.2300000190734863,2.299999952316284,1562800
2019-07-12,2.119999885559082,2.240000009536743,2.119999885559082,2.2100000381469727,315400
2019-07-15,2.069999933242798,2.190000057220459,2.059999942779541,2.119999885559082,154300
2019-07-16,2.0999999046325684,2.119999885559082,2.009999990463257,2.049999952316284,123900
2019-07-17,2.0899999141693115,2.1700000762939453,2.0299999713897705,2.130000114440918,89500
2019-07-18,2.0999999046325684,2.0999999046325684,2.0299999713897705,2.0899999141693115,67200
2019-07-19,2.0399999618530273,2.1500000953674316,2.0299999713897705,2.059999942779541,124000
2019-07-22,2.0399999618530273,2.0799999237060547,2.0199999809265137,2.0199999809265137,62300
2019-07-23,2.0399999618530273,2.049999952316284,2.009999990463257,2.049999952316284,107100
2019-07-24,2.0399999618530273,2.069999933242798,2.0199999809265137,2.0199999809265137,41100
2019-07-25,2.0299999713897705,2.0899999141693115,2.0199999809265137,2.0199999809265137,67200
2019-07-26,2.0199999809265137,2.049999952316284,2.009999990463257,2.0399999618530273,44100
2019-07-29,2.009999990463257,2.049999952316284,2.0,2.0299999713897705,105600
2019-07-30,2.0299999713897705,2.0399999618530273,1.9600000381469727,2.0,120800
2019-07-31,2.0799999237060547,2.1600000858306885,2.0199999809265137,2.0299999713897705,123100
2019-08-01,2.259999990463257,2.4000000953674316,2.0799999237060547,2.0999999046325684,376300
2019-08-02,2.200000047683716,2.25,2.1500000953674316,2.25,65600
2019-08-05,2.0999999046325684,2.180000066757202,2.0999999046325684,2.1600000858306885,67900
2019-08-06,2.1500000953674316,2.2799999713897705,2.0999999046325684,2.109999895095825,83900
2019-08-07,2.119999885559082,2.2799999713897705,2.0999999046325684,2.0999999046325684,131900
2019-08-08,2.200000047683716,2.25,2.1500000953674316,2.1500000953674316,46400
2019-08-09,2.2699999809265137,2.2899999618530273,2.1500000953674316,2.2100000381469727,104700
2019-08-12,2.369999885559082,2.440000057220459,2.200000047683716,2.2799999713897705,179900
2019-08-13,2.309999942779541,2.5199999809265137,2.259999990463257,2.3299999237060547,382500
2019-08-14,2.1700000762939453,2.4700000286102295,2.1500000953674316,2.299999952316284,190000
2019-08-15,2.140000104904175,2.240000009536743,2.109999895095825,2.200000047683716,45100
2019-08-16,2.180000066757202,2.259999990463257,2.109999895095825,2.130000114440918,70900
2019-08-19,2.109999895095825,2.190000057220459,2.109999895095825,2.190000057220459,49600
2019-08-20,2.1500000953674316,2.1500000953674316,2.0899999141693115,2.0999999046325684,23400
2019-08-21,2.0799999237060547,2.190000057220459,2.049999952316284,2.1500000953674316,88700
2019-08-22,2.059999942779541,2.1500000953674316,2.059999942779541,2.109999895095825,49800
2019-08-23,2.0299999713897705,2.119999885559082,2.0299999713897705,2.049999952316284,62700
2019-08-26,2.0299999713897705,2.069999933242798,2.0199999809265137,2.069999933242798,23000
2019-08-27,2.0199999809265137,2.140000104904175,2.009999990463257,2.0299999713897705,111500
2019-08-28,2.0299999713897705,2.059999942779541,2.0,2.0199999809265137,28400
2019-08-29,2.009999990463257,2.0899999141693115,2.009999990463257,2.0299999713897705,77900
2019-08-30,1.9900000095367432,2.059999942779541,1.9500000476837158,2.0299999713897705,99600
2019-09-03,1.9700000286102295,2.049999952316284,1.9299999475479126,2.0,86400
2019-09-04,1.9800000190734863,2.0,1.9500000476837158,2.0,69500
2019-09-05,1.9900000095367432,2.0199999809265137,1.9700000286102295,1.9800000190734863,50500
2019-09-06,2.049999952316284,2.0999999046325684,1.9900000095367432,1.9900000095367432,121500
2019-09-09,2.049999952316284,2.0899999141693115,2.0399999618530273,2.059999942779541,51000
2019-09-10,2.0999999046325684,2.140000104904175,2.0399999618530273,2.0399999618530273,77700
2019-09-11,2.1700000762939453,2.25,2.0999999046325684,2.0999999046325684,279800
2019-09-12,2.0999999046325684,2.2100000381469727,2.049999952316284,2.180000066757202,100700
2019-09-13,2.0299999713897705,2.180000066757202,1.940000057220459,2.119999885559082,333100
2019-09-16,2.009999990463257,2.109999895095825,2.0,2.0,106100
2019-09-17,2.009999990463257,2.0799999237060547,1.9800000190734863,2.009999990463257,136300
2019-09-18,2.009999990463257,2.049999952316284,1.9900000095367432,2.0199999809265137,51400
2019-09-19,2.059999942779541,2.130000114440918,2.0,2.009999990463257,152400
2019-09-20,2.0799999237060547,2.0799999237060547,2.0299999713897705,2.0399999618530273,90800
2019-09-23,2.119999885559082,2.1500000953674316,2.0799999237060547,2.0899999141693115,117700
2019-09-24,2.069999933242798,2.140000104904175,2.049999952316284,2.109999895095825,74700
2019-09-25,2.049999952316284,2.0899999141693115,2.049999952316284,2.069999933242798,39300
2019-09-26,2.059999942779541,2.1500000953674316,2.0,2.059999942779541,155800
2019-09-27,2.0299999713897705,2.0799999237060547,2.0299999713897705,2.059999942779541,35700
2019-09-30,1.9600000381469727,2.0899999141693115,1.9199999570846558,2.0799999237060547,236200
2019-10-01,1.8700000047683716,1.9500000476837158,1.850000023841858,1.9500000476837158,173200
2019-10-02,1.75,1.809999942779541,1.7000000476837158,1.809999942779541,207600
2019-10-03,1.840000033378601,1.850000023841858,1.690000057220459,1.75,74900
2019-10-04,1.7300000190734863,1.8899999856948853,1.7200000286102295,1.8200000524520874,53500
2019-10-07,1.75,1.8300000429153442,1.7300000190734863,1.7599999904632568,33500
2019-10-08,1.75,1.809999942779541,1.659999966621399,1.75,174700
2019-10-09,1.7200000286102295,1.9600000381469727,1.6799999475479126,1.7300000190734863,99300
2019-10-10,1.6799999475479126,1.7400000095367432,1.6799999475479126,1.7400000095367432,23600
2019-10-11,1.690000057220459,1.7400000095367432,1.6699999570846558,1.6699999570846558,45500
2019-10-14,1.6699999570846558,1.7599999904632568,1.659999966621399,1.6699999570846558,53700
2019-10-15,1.75,2.049999952316284,1.690000057220459,1.690000057220459,793600
